experiment_id,metric,platform_a,value_a,platform_b,value_b,delta,status
cal_ensemble_hbv_cmaes@HBV,KGE,macos,0.917988,native_windows,0.928871,0.010882,OK
cal_ensemble_hbv_dds@HBV,KGE,macos,0.938339,native_windows,0.938339,0.000000,OK
cal_ensemble_hbv_de@HBV,KGE,macos,0.909082,native_windows,0.909082,0.000000,OK
cal_ensemble_hbv_dream@HBV,KGE,macos,0.907862,native_windows,0.907862,0.000000,OK
cal_ensemble_hbv_ga@HBV,KGE,macos,0.917939,native_windows,0.916071,0.001868,OK
cal_ensemble_hbv_glue@HBV,KGE,macos,0.907066,native_windows,0.907066,0.000000,OK
cal_ensemble_hbv_lbfgs@HBV,KGE,macos,0.915350,native_windows,0.906736,0.008614,OK
cal_ensemble_hbv_moead@HBV,KGE,macos,0.927169,native_windows,0.936404,0.009235,OK
cal_ensemble_hbv_nelder_mead@HBV,KGE,macos,0.942249,native_windows,0.942249,0.000000,OK
cal_ensemble_hbv_nsga2@HBV,KGE,macos,0.726180,native_windows,0.890807,0.164627,DIFF
cal_ensemble_hbv_pso@HBV,KGE,macos,0.929163,native_windows,0.929163,0.000000,OK
cal_ensemble_hbv_sa@HBV,KGE,macos,0.915739,native_windows,0.915739,0.000000,OK
cal_ensemble_hbv_sceua@HBV,KGE,macos,0.916199,native_windows,0.916199,0.000000,OK
cal_ensemble_hechms_abc@HECHMS,KGE,macos,0.851098,native_windows,0.851098,0.000000,OK
cal_ensemble_hechms_adam@HECHMS,KGE,macos,0.894169,native_windows,0.894169,0.000000,OK
cal_ensemble_hechms_basin_hopping@HECHMS,KGE,macos,0.829519,native_windows,0.799577,0.029943,DIFF
cal_ensemble_hechms_bayesian_opt@HECHMS,KGE,macos,0.658404,native_windows,0.658404,0.000000,OK
cal_ensemble_hechms_cmaes@HECHMS,KGE,macos,0.878798,native_windows,0.879490,0.000692,OK
cal_ensemble_hechms_dds@HECHMS,KGE,macos,0.906937,native_windows,0.906937,0.000000,OK
cal_ensemble_hechms_de@HECHMS,KGE,macos,0.912730,native_windows,0.912730,0.000000,OK
cal_ensemble_hechms_dream@HECHMS,KGE,macos,0.833018,native_windows,0.833018,0.000000,OK
cal_ensemble_hechms_ga@HECHMS,KGE,macos,0.840899,native_windows,0.874822,0.033923,DIFF
